"","Name","Team","G","points","ADP"
"1","Ronald Acuña Jr.","ATL",152.134,565.421786252,1
"2","Juan Soto","NYY",152.908,516.922512314,11.1000003814697
"3","Spencer Strider","ATL",29.6326,504.1668,6.65000009536743
"4","Mookie Betts","LAD",149.026,489.871073058,5.28999996185303
"5","Freddie Freeman","LAD",153.356,484.704105062,8.85000038146973
"6","Kyle Tucker","HOU",151.261,482.490219301,6.21000003814697
"7","José Ramírez","CLE",151.241,478.825397942,15.1899995803833
"8","Gerrit Cole","NYY",30.6,467.4108,13.1000003814697
"9","Yordan Alvarez","HOU",138.83,463.981549242,16.8999996185303
"10","Matt Olson","ATL",152.697,455.99010476,17.3299999237061
"11","Vladimir Guerrero Jr.","TOR",153.178,452.512535078,31.6700000762939
"12","Aaron Judge","NYY",140.45,444.331043676,11.0600004196167
"13","Bobby Witt Jr.","KCR",151.598,442.82367329,2.40000009536743
"14","Shohei Ohtani","LAD",139.058,442.189879406,13.3999996185303
"15","Rafael Devers","BOS",149.022,434.659340796,24.079999923706
"16","Alex Bregman","HOU",148.83,431.384049298,102.669998168945
"17","Marcus Semien","TEX",153,429.037076693,30.579999923706
"18","Bryce Harper","PHI",146.533,426.484538336,18.1499996185303
"19","Kevin Gausman","TOR",29.5879,426.26935,27.8799991607666
"20","Fernando Tatis Jr.","SDP",147.971,426.076123208,7.92000007629395
"21","Pablo López","MIN",29.9517,423.21455,34.6699981689453
"22","Zack Wheeler","PHI",29.8811,422.5014,24.7099990844727
"23","Corbin Burnes","BAL",30.2827,422.3845,18.579999923706
"24","Luis Castillo","SEA",30.3129,419.86535,29.579999923706
"25","Corbin Carroll","ARI",148.031,418.234341228,4.98000001907349
"26","Pete Alonso","NYM",152.099,418.069443674,27.329999923706
"27","Austin Riley","ATL",152.565,417.420844101,19.9400005340576
"28","Ozzie Albies","ATL",147.664,412.327863436,22.7299995422363
"29","Julio Rodríguez","SEA",150.763,410.07750328,2.90000009536743
"30","Zac Gallen","ARI",30.2275,408.3603,39.3800010681152
"31","Corey Seager","TEX",129.212,407.902261232,26.9599990844727
"32","Framber Valdez","HOU",29.0094,407.50055,58.5400009155273
"33","Trea Turner","PHI",152.688,399.451479605,12.539999961853
"34","Aaron Nola","PHI",29.7133,398.19915,52.8499984741211
"35","Jose Altuve","HOU",139.253,394.379434543,43.2700004577637
"36","Logan Webb","SFG",30.1483,394.06085,54.7900009155273
"37","Francisco Lindor","NYM",152.52,391.112306251,23.6000003814697
"38","George Kirby","SEA",29.7658,390.19195,33.75
"39","Logan Gilbert","SEA",30.5735,386.06925,60.560001373291
"40","Luis Arraez","MIA",143.236,381.764426292,163.059997558594
"41","Nolan Arenado","STL",144.852,377.961721131,109.269996643066
"42","Yoshinobu Yamamoto","LAD",26.6822,376.8135,42.75
"43","Manny Machado","SDP",139.77,375.532072163,69.629997253418
"44","Freddy Peralta","MIL",28.3565,373.0214,55
"45","Ketel Marte","ARI",143.352,371.631910254,121.099998474121
"46","Kyle Schwarber","PHI",148.329,369.370338604,93.8300018310547
"47","Blake Snell","",27.9121,369.3555,68.0199966430664
"48","Michael Harris II","ATL",147.186,368.926921362,30.3099994659424
"49","Yandy Díaz","TBR",136.501,367.255959592,139.850006103516
"50","Christian Walker","ARI",148.59,366.967426077,96.2099990844727
"51","Gleyber Torres","NYY",146.435,366.889025085,85.7699966430664
"52","Nico Hoerner","CHC",146.323,365.1244967,65.5999984741211
"53","Bo Bichette","TOR",146.018,364.945134384,39.6699981689453
"54","Max Fried","ATL",27.6194,364.15245,62.1500015258789
"55","Paul Goldschmidt","STL",147.464,361.723425544,86.129997253418
"56","Bryan Reynolds","PIT",147.622,361.167726755,93.7099990844727
"57","Vinnie Pasquantino","KCR",131.863,359.915391659,184.330001831055
"58","Adley Rutschman","BAL",142.626,359.001610379,52.4799995422363
"59","Zach Eflin","TBR",28.2666,357.80653525,81.379997253418
