"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"a53723ee-952b-4dc7-9d27-97dc8d4720b3","Juan","Soto",,"12.8",,"OF","San Diego Padres",,
"5cf4a60f-b3cf-4381-846c-3510edfe3181","Manny","Machado",,"12.2",,"IF","San Diego Padres",,
"1c648058-150d-4d3c-88a4-5a9c92e57d5b","Paul","Goldschmidt",,"12.0",,"IF","St. Louis Cardinals",,
"27bf3fdb-d928-4328-8195-aa02c1c1be16","Xander","Bogaerts",,"11.6",,"IF","San Diego Padres",,
"b153ce5b-6b65-4d8b-b5f5-1d757ddd555d","Nolan","Arenado",,"10.7",,"IF","St. Louis Cardinals",,
"856f0fa9-7026-4fe8-bb1e-b421dece2e08","Tyler","O'Neill",,"10.6",,"OF","St. Louis Cardinals",,
"8d359fc3-5dea-47ea-80ec-98b77bb3fd8b","Jake","Cronenworth",,"10.5",,"IF","San Diego Padres",,
"23cb24f9-3278-4b4a-8b1f-daa8b9c89515","Nolan","Gorman",,"10.1",,"IF","St. Louis Cardinals",,
"9b211843-bc79-4c0e-9cb6-c6462fab25c7","Brendan","Donovan",,"10.1",,"IF","St. Louis Cardinals",,
"3a6fc8ee-d215-4f21-8244-098d2492989a","Nelson","Cruz",,"9.9",,"OF","San Diego Padres",,
"de48ba4b-2f4a-4d78-94d9-a5a88e6f4477","Jordan","Walker",,"9.8",,"OF","St. Louis Cardinals",,
"fd922771-5aec-4cfb-b13e-fda4ec397a91","Jordan","Montgomery",,"9.7",,"P","St. Louis Cardinals",,
"bc86575e-8cd5-41d6-8cbf-939e29791229","Willson","Contreras",,"9.6",,"IF","St. Louis Cardinals",,
"a6db2c7a-fccd-4dfd-ba00-4c8d7b04c84e","Nick","Martinez",,"9.5",,"P","San Diego Padres",,
"ead109f8-00f9-4648-afc1-954e9f122ca6","Willy","Adames",,"9.5",,"IF","Milwaukee Brewers",,
"1031fb21-f585-4e86-97ae-70a969c41116","Alec","Burleson",,"9.4",,"OF","St. Louis Cardinals",,
"f2656845-1560-4e7e-b816-6ee7d253657c","Jesse","Winker",,"9.1",,"OF","Milwaukee Brewers","QUESTIONABLE",
"8dc3c787-1888-4a35-bea0-bff7b757a878","Christian","Yelich",,"9.0",,"OF","Milwaukee Brewers",,
"f4eec1f5-80e5-40af-a924-9cf76e3988f8","Trent","Grisham",,"8.9",,"OF","San Diego Padres",,
"8e8edd35-f86d-4079-8c78-ce8aec21f38a","Andrew","McCutchen",,"8.8",,"OF","Pittsburgh Pirates",,
"15ca706b-f69d-4167-92ea-affcb36e0072","Bryan","Reynolds",,"8.7",,"OF","Pittsburgh Pirates",,
"8c1f5c88-d0b7-4ed5-bbf5-16d91e1104be","Ha-Seong","Kim",,"8.7",,"IF","San Diego Padres",,
